Ts;mass;dxdy
30,1839;7,99292;-0,0031676
35,9322;7,98531;-0,0031676
43,6335;7,96135;-0,0031676
51,3155;7,93235;-0,00322993
58,9509;7,90568;-0,00299237
66,6082;7,88374;-0,00244416
74,29;7,86715;-0,00185561
82,0319;7,85612;-0,00128551
89,8076;7,84951;-0,000802544
97,6409;7,84478;-0,000438163
105,466;7,843;-1,73E-04
113,354;7,842;-5,61E-06
121,278;7,8421;6,08E-06
129,211;7,843;4,22E-06
137,156;7,84285;-5,11E-05
145,129;7,84245;-0,00013693
153,097;7,841;-0,000241902
161,077;7,8388;-3,67E-04
169,095;7,83566;-0,000503018
177,107;7,83071;-0,000644824
185,144;7,82553;-0,000777172
193,194;7,81844;-0,000849616
201,22;7,81039;-0,000756162
209,266;7,80395;-5,86E-04
217,277;7,80212;-0,000365952
225,305;7,79929;-0,000202702
233,268;7,79918;-0,000109355
241,175;7,798;-3,07E-05
248,966;7,79916;1,91E-05
257,238;7,79861;0,000107942
265,696;7,79942;0,000147437
273,643;7,80184;0,000178746
281,589;7,80332;0,000201667
289,596;7,80445;0,00016913
297,609;7,80601;0,000130144
305,623;7,80699;8,97E-05
313,617;7,807;4,75E-06
321,62;7,80748;-0,000111857
329,612;7,80602;-0,000277238
337,604;7,80319;-0,00054908
345,612;7,79883;-0,000903617
353,587;7,7901;-0,00139208
361,557;7,77722;-0,00221865
369,539;7,76028;-0,00363135
377,518;7,72936;-0,00606637
385,725;7,67695;-0,00996849
393,561;7,58906;-0,0163126
401,712;7,44792;-0,0275049
409,627;7,225;-0,0462031
417,497;6,81864;-0,072313
425,361;6,13902;-0,0963614
433,183;5,16875;-0,103415
441,112;4,16552;-0,0893122
449,202;3,59146;-0,0612219
457,133;3,3414;-0,0327928
464,95;3,22296;-0,0155707
472,714;3,16053;-0,00788263
480,494;3,12472;-0,00450752
488,291;3,10224;-0,00299947
496,079;3,08408;-0,00244764
503,872;3,06748;-0,0023984
511,677;3,04806;-0,00263733
519,469;3,02702;-0,00298351
527,228;3,00235;-0,00338839
535,029;2,97338;-0,00380288
542,806;2,9415;-0,00419257
550,592;2,90808;-0,00450004
558,342;2,8704;-0,00469496
566,08;2,83222;-0,00468589
573,797;2,79464;-0,00450999
581,494;2,76157;-0,00426339
589,199;2,72963;-0,00400066
596,892;2,69854;-0,00372756
604,57;2,67095;-0,00342954
612,263;2,64514;-0,00321268
619,94;2,62216;-0,00277938
627,621;2,59203;-0,00235111
635,276;2,58571;-0,00195937
642,933;2,57128;-0,00160592
650,577;2,55877;-0,00150262
658,215;2,54685;-0,00139564
665,849;2,53821;-0,00129738
673,505;2,52753;-0,00124166
681,151;2,51753;-0,00120595
688,819;2,50834;-0,00117751
696,491;2,49929;-0,00113483
704,189;2,48936;-0,00107159
711,889;2,48031;-0,00103379
719,572;2,47534;-0,00102498
727,257;2,46676;-0,0010521
734,953;2,45819;-0,00104125
742,644;2,44924;-0,000970802
750,346;2,44302;-0,000941004
758,036;2,43681;-0,00084307
765,752;2,42987;-0,000803458
773,458;2,42487;-0,000765397
781,135;2,4177;-7,06E-04
788,842;2,41275;-7,06E-04
796,551;2,40871;-7,06E-04
